Name,Address,Phone,Email,Website,ABN,Profession,InternshipOrInternships,ApprenticeshipOrApprenticeships,TraineeshipOrTraineeships,HROrHumanResources,JobOrJobs,CareerOrCareers,WorkPlacement,Employment,EmailCrawler,Error
Hammondcare,"Strathearn House, 75 Gundy Road, Scone, NSW 2337",,,https://www.hammond.com.au,48000026219,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,YES,YES,NO,NO,NA,
Douglas Shire Community Services Associa,"20 Mill Street, Mossman, QLD 4873",49938191,lifestyle@dscsa.org.au,https://www.mossmansupportservices.org.au,60077203004,Other,NO,NO,NO,NO,NO,YES,NO,NO,"admin@dscsa.org.au, coordinator@dscsa.org.au",
Chinese Parents Association Children With Disabilities Inc,"46 Edward Street, Summer Hill, NSW 2130",02 9789 1315,admin@chineseparents.org.au,https://www.chineseparents.org.au,63938108704,,NO,NO,NO,NO,NO,NO,NO,NO,admin@chineseparents.org.au,
H-L-Therapy,"Unit 1, 2 Kincraig Crescent, Modbury, SA 5092",0490 463 042,contact@h-ltherapy.com.au,https://www.h-ltherapy.com.au,91203966128,,NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
Ace Plan Managment,"Bellfield Track, Bellfield, VIC 3081",0423 128 110,cheryl@aceplanmanagement.com.au,https://www.aceplanmanagement.com.au,42787681058,Accountant/Bookkeeper,NO,NO,NO,NO,YES,NO,NO,NO,info@aceplanmanagement.com.au,
Healthy Movers Pty Ltd,"1535 Centre Road, Clayton, VIC 3168",0418 673 629,info@healthymovers.com.au,https://healthymovers.com.au,80615207200,"Exercise Physiologist, Personal Trainer",NO,NO,NO,NO,NO,NO,NO,NO,info@healthymovers.com.au,
Almond Care,"Unit 7, 90 Wembley Road, Logan Central, QLD 4114",0421 744 883,info@almondcare.com.au,https://www.almondcare.com.au/,59640857094,,NO,NO,NO,NO,YES,NO,NO,NO,"almondcare21@gmail.com, info@almondcare.com.au, wordpress@almondcare.com.au, info@almondcare.com.au.test-google-a.com",
Complete Allied Health Care Pty Ltd,"1 North Terrace, Bankstown, NSW 2200",02 9793 2022,bankstown@jtphysio.com.au,https://www.completeahc.com.au,48606942723,Exercise Physiologist,NO,NO,NO,YES,YES,YES,NO,NO,admin@completeahc.com.au,
Aruma Services,"29 Tannery Street, Unanderra, NSW 2526",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
Evolve Neuro Rehab,"20 Fourth Avenue, Mawson Lakes, SA 5095",0424 637 408,aimenhaider98@gmail.com,,40633852507,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Elohim Disability Services,"1-3 Balmoral Road, Port Pirie South, SA 5540",0428 434 614,angela.hill@elohds.com.au,https://www.elohds.com.au,60356080134,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
Apex Software Pty Ltd,"Lark-Ellen Nursing Home, 133 Jannali Avenue, Sutherland, NSW 2232",02 9521 2855,admin@apexagedcare.com.au,https://www.apexagedcare.com.au,55002338007,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: DNS lookup failed: no results for hostname lookup: www.apexagedcare.com.au.
Empathy Care Services Pty Ltd,"Unit 4 157 Ascot Vale Road, Ascot Vale, VIC 3032",0434 350 858,lensa97@gmail.com,,56648830737,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Alternative Social Health Support,"26 Tynan Street, Orange, NSW 2800",0475 921 708,admin@alternativesocialhealthsupport.com.au,https://www.alternativesocialhealthsupport.com.au,85335069909,,NO,NO,NO,NO,NO,NO,NO,NO,NA,
#enabled4life Ndis Plan Management,"Kingston, Kingston, ACT 2604",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Hunter Valley Disability Services,"67-73 The Boulevarde, Toronto, NSW 2283",02 6413 3001,gavin@hvit.net.au,https://www.hvit.net.au,50671592957,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,YES,NO,NO,NO,NA,
Araluen Centre,"2-6 Turnham Avenue, Rosanna, VIC 3084",03 9439 2805,helenr@araluen.org,https://araluen.org.au,45056676558,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,YES,YES,NO,NO,"Araluen-staff-photo-660-x-550@2x-200x154.png, Araluen_web_home_page_News_660@2x-600x462.png, Araluen-web-front-page-art-gal@2x.png, Araluen-staff-photo-660-x-550@2x-1200x923.png, Araluen-web-front-page-art-gal@2x-600x462.png, Araluen-web-front-page-art-gal@2x-200x154.png, ndis-logo@2x-1-400x123.png, birthday@araluen.org, ndis-logo@2x-1-800x245.png, Araluen_web_refresh_home_page_@2x-200x154.png, Araluen_web_home_page_News_660@2x-800x615.png, Araluen-staff-photo-660-x-550@2x-600x462.png, Araluen_web_refresh_home_page_@2x-400x308.png, ndis-logo@2x-1-600x184.png, ndis-logo@2x-1-300x92.png, Araluen-web-front-page-art-gal@2x-1200x923.png, Araluen_web_home_page_News_660@2x-200x154.png, Araluen-staff-photo-660-x-550@2x.png, ndis-logo@2x-1-200x61.png, Araluen_web_home_page_News_660@2x-400x308.png, Araluen_web_refresh_home_page_@2x-600x462.png, Araluen-web-front-page-art-gal@2x-800x615.png, ndis-logo@2x-1.png, Araluen-staff-photo-660-x-550@2x-400x308.png, Araluen_web_refresh_home_page_@2x-800x615.png, Araluen_web_refresh_home_page_@2x.png, ndis-logo@2x-1-768x235.png, Araluen-staff-photo-660-x-550@2x-800x615.png, Araluen_web_home_page_News_660@2x.png, Araluen-web-front-page-art-gal@2x-400x308.png, Araluen_web_refresh_home_page_@2x-1200x923.png, Araluen_web_home_page_News_660@2x-1200x923.png",
